Timestamp,Voltage
2024-06-26 15:23:00,90
2024-06-26 21:30:00,50
2024-06-26 22:10:00,84
2024-06-26 22:31:00,100
2024-06-26 22:39:00,100
2024-06-27 03:16:00,85
2024-06-27 14:09:00,100
2024-06-27 14:12:00,100
2024-06-27 19:43:00,89
2024-06-27 19:45:00,89
2024-06-28 06:53:00,100
2024-06-28 07:01:00,100
2024-06-28 15:40:00,78
2024-06-28 15:42:00,78
2024-06-28 21:11:00,100
2024-06-29 05:23:00,82
2024-06-29 05:25:00,82
2024-06-29 10:52:00,100
2024-06-29 20:01:00,78
2024-06-29 20:03:00,78
2024-06-30 03:00:00,100
2024-06-30 10:28:00,91
2024-06-30 16:56:00,100
2024-07-01 01:03:00,83
2024-07-01 01:07:00,83
2024-07-01 10:29:00,100
2024-07-01 16:45:00,89
2024-07-01 22:17:00,60
2024-07-01 23:15:00,100
2024-07-02 03:42:00,82
2024-07-02 14:07:00,100
2024-07-02 20:03:00,92
2024-07-03 01:41:00,100
