Timestamp,Voltage
2024-06-26 14:05:00,41
2024-06-26 20:57:00,32
2024-06-26 21:13:00,32
2024-06-26 21:30:00,48
2024-06-26 22:10:00,82
2024-06-27 02:24:00,56
2024-06-27 02:33:00,56
2024-06-27 06:55:00,38
2024-06-27 06:59:00,38
2024-06-27 18:32:00,44
2024-06-27 18:33:00,44
2024-06-28 01:05:00,28
2024-06-28 01:06:00,28
2024-06-28 14:51:00,47
2024-06-28 19:21:00,32
2024-06-28 19:28:00,32
2024-06-29 03:50:00,40
2024-06-29 09:03:00,38
2024-06-29 09:03:00,38
2024-06-29 09:06:00,38
2024-06-29 09:15:00,38
2024-06-29 09:41:00,38
2024-06-29 19:05:00,38
2024-06-29 23:24:00,32
2024-06-29 23:29:00,32
2024-06-30 09:13:00,44
2024-06-30 14:42:00,25
2024-06-30 14:48:00,25
2024-07-01 00:19:00,60
2024-07-01 05:08:00,43
2024-07-01 15:36:00,46
2024-07-01 21:41:00,32
2024-07-01 22:17:00,58
2024-07-02 02:55:00,58
2024-07-02 07:26:00,36
2024-07-02 18:54:00,43
2024-07-02 18:55:00,43
2024-07-03 00:09:00,29
2024-07-03 00:13:00,29
